"Company Name","52 Week High (₹)","High Date","52 Week Low (₹)","Low Date"
"Sumeet Industrie","4.95","12/03/2019","1.55","17/10/2019"
"Sumit Woods","26.95","30/07/2019","14.25","25/03/2019"
"Sumitomo Chemical","239.95","31/01/2020","191.15","27/01/2020"
"Summit Securities","670.00","15/04/2019","395.00","28/11/2019"
"Sun Pharma Advanced","210.90","28/01/2020","112.30","03/07/2019"
"Sun Pharma.","484.25","01/04/2019","344.55","13/05/2019"
"Sun TV Network Ltd.","650.70","02/04/2019","389.35","20/09/2019"
"Sundaram Clayton","3,269.00","13/03/2019","1,662.50","20/08/2019"
"Sundaram Fasten.","595.75","03/04/2019","399.10","22/08/2019"
"Sundaram Finance","1,732.90","31/05/2019","1,329.60","15/02/2019"
"Sundaram Finance Hol","104.20","31/01/2019","61.10","20/12/2019"
"Sundaram Multi P","2.25","23/05/2019","1.05","12/12/2019"
"SundaramBrakeLining","399.00","28/05/2019","221.05","11/12/2019"
"Sunflag Iron","56.60","15/03/2019","22.60","23/08/2019"
"Sunil Hitech Enginee","3.70","13/08/2018","0.30","16/07/2019"
"Sunteck Realty Ltd.","533.35","23/05/2019","319.80","26/02/2019"
"Super Sales India","479.00","13/03/2014","228.20","28/01/2014"
"Super Spinning","8.25","08/04/2019","3.15","04/10/2019"
"Superhouse Ltd.","138.85","06/03/2019","56.20","02/08/2019"
"Suprajit Enginee","249.00","02/04/2019","146.15","13/08/2019"
"Supreme (India) Impe","56.60","14/01/2019","25.95","28/06/2019"
"Supreme Engineering","42.00","12/07/2019","20.50","21/01/2020"
"Supreme Inds.","1,410.00","31/01/2020","946.25","17/05/2019"
"Supreme Infrastructu","29.80","25/03/2019","6.25","13/12/2019"
"Supreme Petroche","239.95","20/03/2019","144.50","17/12/2019"
"Supreme Tex Mart L","4.10","31/08/2017","0.45","21/08/2018"
"Surana Corporation L","1.40","18/01/2018","0.75","06/08/2018"
"Surana Ind.Ltd","4.40","12/12/2017","1.30","18/09/2018"
"Surana Solar","12.45","13/01/2020","5.15","03/10/2019"
"Surana Telecom and P","5.80","09/07/2019","3.00","27/11/2019"
"Surani Steel Tubes","60.00","12/02/2019","27.50","23/01/2020"
"Surevin BPO Services","111.00","06/05/2019","70.15","01/10/2019"
"Surya Pharmaceutical","1.40","23/09/2014","0.05","01/01/2015"
"Surya Roshni Ltd","273.40","12/03/2019","149.60","03/09/2019"
"Suryajyoti Spg.","9.30","20/07/2016","6.00","19/10/2016"
"Suryalakshmi Cot","44.00","04/02/2019","14.60","23/08/2019"
"Sutlej Textiles & In","44.70","12/03/2019","24.15","26/08/2019"
"Suumaya Lifestyle","36.15","25/02/2019","15.05","14/06/2019"
"Suven Life Sciences","334.70","15/11/2019","15.20","21/01/2020"
"Suzlon Energy Ltd.","8.40","06/03/2019","1.80","30/12/2019"
"SVOGL Oil Gas","5.25","23/09/2016","2.45","03/04/2017"
"Swan Energy Ltd.","135.00","27/02/2019","91.25","13/02/2019"
"Swaraj Engines","1,530.05","18/03/2019","1,015.10","11/12/2019"
"Swelect Energy Syste","199.43","03/07/2019","93.70","12/12/2019"
"Symphony","1,589.10","03/06/2019","1,071.00","09/12/2019"
"Syncom Healthcare Lt","2.60","14/03/2019","0.70","18/10/2019"
"Syndicate Bank","46.60","02/04/2019","23.30","17/10/2019"
"Syngene Internationa","369.00","14/06/2019","280.25","25/03/2019"
"T Nadu Newsprint","234.75","31/01/2019","151.05","05/08/2019"
"T Nadu Telecom L","1.85","13/05/2019","0.95","20/12/2019"
"T T Ltd.","66.20","15/03/2019","30.00","02/08/2019"
"Tainwala Chem.","86.00","30/05/2019","42.40","22/08/2019"
"Taj GVK Hotels & Res","245.00","04/04/2019","115.00","23/08/2019"
"Take Solutions Ltd.","159.65","31/05/2019","90.45","09/12/2019"
"Talbros Auto.","245.00","11/03/2019","95.50","07/08/2019"
"Talwalkars Better Va","66.00","16/04/2019","2.40","16/10/2019"
"Talwalkars Healthclu","136.75","03/04/2019","2.15","31/01/2020"
"Tamilnadu Petroprod","48.00","17/01/2020","28.75","26/08/2019"
"Tanfac Inds.","18.75","01/09/2014","6.40","30/12/2013"
"Tanla Solutions","81.00","28/01/2020","32.10","19/02/2019"
"Tantia Constructions","3.80","07/03/2019","1.00","31/10/2019"
"Tara Chand Logistic","43.75","15/05/2019","25.55","29/10/2019"
"Tara Jewels Ltd.","6.35","14/09/2018","0.45","21/02/2019"
"Tarapur Transformers","7.70","18/04/2019","2.80","19/02/2019"
"Tarmat L","45.65","10/04/2019","19.50","03/09/2019"
"Tasty Bite","10,699.00","04/11/2019","7,489.00","27/05/2019"
"Tata Chemicals","771.15","29/01/2020","543.00","13/08/2019"
"Tata Coffee Ltd.","107.80","29/01/2020","67.10","23/08/2019"
"Tata Communications","627.70","02/04/2019","265.00","17/09/2019"
"Tata Consultancy","2,296.20","03/09/2019","1,881.30","20/02/2019"
"Tata Elxsi Ltd.","1,010.95","20/03/2019","592.25","14/08/2019"
"Tata Global Beverage","399.45","23/01/2020","177.05","11/02/2019"
"Tata Investment","944.00","30/01/2020","736.35","05/08/2019"
"Tata Metaliks","689.00","12/03/2019","480.40","05/08/2019"
"Tata Motors Ltd.","239.35","22/04/2019","106.00","04/09/2019"
"Tata Power Co.","77.00","02/04/2019","50.35","21/08/2019"
"Tata Steel","561.65","02/05/2019","320.35","09/10/2019"
"Tata Steel BSL","37.95","18/04/2019","20.05","23/08/2019"
"Tata Steel Long Prod","594.50","15/04/2019","346.50","12/12/2019"
"Tata Teleservices (M","5.15","06/06/2019","2.20","27/12/2019"
"TCI Developers Ltd.","422.00","16/01/2020","316.50","05/08/2019"
"TCI Express","894.00","31/01/2020","531.00","06/08/2019"
"TCI Finance","18.90","28/05/2019","6.85","05/12/2019"
"TCI Ltd.","327.95","29/03/2019","250.10","31/07/2019"
"TCNS Clothing","870.00","27/03/2019","573.50","31/01/2020"
"TCP Ltd.","497.70","22/01/2015","394.30","30/01/2014"
"TCPL Packaging","474.85","02/04/2019","225.00","23/10/2019"
"TD Power Systems Ltd","169.00","03/07/2019","115.10","02/04/2019"
"TeamLease Service","3,210.00","19/02/2019","2,281.35","11/12/2019"
"Tech Mahindra Ltd.","846.50","02/05/2019","607.15","31/07/2019"
"Techindia Nirman Ltd","7.05","30/01/2019","2.55","11/12/2019"
"Techno Electric & En","427.45","08/01/2018","230.75","20/07/2018"
"Techno Electric&Eng","322.00","04/11/2019","215.85","14/02/2019"
"Technocraft Industri","585.00","12/03/2019","280.00","18/12/2019"
"Technofab Engineerin","134.40","01/02/2019","9.50","05/09/2019"
"Tecpro Systems Ltd.","11.05","15/07/2015","5.75","23/05/2016"
"Tejas Networks","206.00","23/04/2019","64.10","15/11/2019"
"Tera Software","59.45","09/04/2019","20.15","01/08/2019"
"Texmaco Infrastructu","61.40","06/03/2019","30.50","22/08/2019"
"Texmaco Rail & Engin","72.58","31/05/2019","29.40","17/12/2019"
"Texmo Pipes & Produc","24.50","13/02/2019","12.10","13/12/2019"
"TGB Banquets","16.20","04/02/2019","3.00","01/01/2020"
"Thangamayil Jeweller","405.20","07/03/2019","245.50","05/08/2019"
"The Andhra Sugars","416.80","27/05/2019","258.75","10/10/2019"
"The Anup Engineering","683.80","15/03/2019","351.00","16/05/2019"
"The Byke Hospitality","44.00","01/02/2019","14.60","23/08/2019"
"The Grob Tea Company","613.90","03/12/2019","240.00","23/08/2019"
"The Hi-Tech Gears","339.00","12/03/2019","142.65","17/10/2019"
"The Investment Trust","211.95","22/03/2019","104.00","09/10/2019"
"The Mandhana Retail","34.10","14/02/2019","9.30","22/07/2019"
"The New India Assur","219.00","12/03/2019","94.40","15/10/2019"
"The Peria Karamalai","183.80","12/03/2019","103.00","20/08/2019"
"The Ramco Cements","884.25","27/01/2020","583.35","31/01/2019"
"The United Nilgiri","379.00","08/04/2019","220.90","29/08/2019"
"The Western India","110.25","01/02/2019","52.00","09/12/2019"
"Thejo Engineering Lt","600.00","31/01/2019","470.25","29/10/2019"
"Themis Medicare Ltd.","438.00","28/01/2020","138.30","02/08/2019"
"Thermax","1,198.00","11/02/2019","927.40","03/04/2019"
"Thiru Arooran","21.80","31/01/2019","2.65","02/12/2019"
"Thirumalai Chem.","103.35","15/04/2019","51.05","23/08/2019"
"Thomas Cook (I)","264.40","23/04/2019","51.40","31/01/2020"
"Thomas Scott (India)","10.40","22/04/2019","3.80","30/12/2019"
"Thyrocare Tech.","604.70","18/02/2019","407.15","31/07/2019"
"Tide Water Oil","5,760.00","18/03/2019","4,334.60","19/09/2019"
"Tijaria Polypipes Lt","20.65","02/05/2019","6.45","20/12/2019"
"TIL Ltd.","303.00","24/05/2019","162.00","27/12/2019"
"Tilaknagar Industrie","20.15","28/11/2019","11.40","24/10/2019"
"Timbor Home Ltd.","7.55","26/11/2014","2.50","24/09/2015"
"Time Technoplast Ltd","108.70","07/03/2019","42.00","11/12/2019"
"Times Guaranty","43.20","20/03/2019","24.00","20/02/2019"
"Timken India Ltd","1,030.00","28/01/2020","507.00","18/02/2019"
"Tin Plate Co.","168.40","15/04/2019","87.35","23/08/2019"
"Tips Industries","120.90","31/01/2020","52.15","07/08/2019"
"Tirupati Forge","31.88","16/04/2019","25.13","18/09/2019"
"Titagarh Wagons Ltd.","77.10","13/03/2019","31.00","05/08/2019"
"Titan Company","1,389.95","25/10/2019","966.50","31/01/2019"
"Todays Writing Inst","2.35","06/02/2018","0.20","10/01/2019"
"Tokyo Plast Inte","93.00","30/10/2019","45.20","11/02/2019"
"Torrent Pharmac","2,073.65","20/01/2020","1,452.00","23/07/2019"
"Torrent Power Ltd.","330.70","27/01/2020","230.20","25/02/2019"
"Total Transport Sys","48.95","31/01/2020","25.00","25/02/2019"
"Touchwood Entertainm","93.25","21/01/2020","19.60","12/02/2019"
"Tourism Finance","154.70","19/02/2019","56.50","05/08/2019"
"TPL Plastech Ltd.","163.00","08/03/2019","94.55","23/08/2019"
"Transformers & Recti","15.80","06/03/2019","6.40","26/11/2019"
"Transwarranty Financ","9.70","17/05/2019","3.30","11/12/2019"
"Transwind Infrastruc","10.50","31/01/2019","3.20","07/01/2020"
"Tree House Education","7.50","16/09/2019","3.45","11/02/2019"
"Trejhara Solutions L","32.40","14/02/2019","10.50","06/01/2020"
"Trent Ltd.","611.95","20/01/2020","320.10","26/02/2019"
"TRF Ltd","148.50","03/04/2019","71.25","23/08/2019"
"Tribhovandas Bhimji","72.45","18/04/2019","30.00","05/08/2019"
"Tricom India Ltd.","2.50","14/07/2016","0.45","23/03/2017"
"Trident Ltd.","8.40","16/12/2019","5.20","22/07/2019"
"Trigyn Technolog","83.50","08/03/2019","39.60","14/10/2019"
"Triveni Eng.&Ind.Ltd","88.45","15/01/2020","41.45","31/01/2019"
"Triveni Turbine","123.00","13/03/2019","80.50","30/07/2019"
"TTK Healthcare Ltd.","765.00","31/01/2019","420.00","23/08/2019"
"TTK Prestige L","7,730.24","12/03/2019","5,031.10","31/07/2019"
"Tube Investments","549.75","16/01/2020","322.55","05/02/2019"
"Tulip Telecom Ltd.","5.05","13/06/2014","0.95","12/01/2015"
"Tulsi Extrusions Ltd","1.20","16/07/2018","0.45","01/04/2019"
"Tulsyan NEC Ltd.","32.25","08/08/2014","17.15","21/03/2014"
"TV Today Network Ltd","359.40","04/02/2019","227.70","11/12/2019"
"TV Vision","4.85","13/03/2019","1.00","18/12/2019"
"TV18 Broadcast","39.30","15/04/2019","18.05","23/08/2019"
"TVS Electronics","228.90","28/05/2019","94.50","12/12/2019"
"TVS Motor Co. Ltd.","532.05","01/02/2019","338.25","31/07/2019"
"TVS Srichakra Lt","2,399.65","11/02/2019","1,470.00","06/08/2019"
"Twentyfirst Cent","24.95","22/04/2019","12.00","16/09/2019"
"Twilight Litaka Phar","7.25","04/07/2014","3.20","20/03/2014"
"UB Engineering Ltd.","21.10","08/07/2014","5.55","19/11/2014"
"Ucal Fuel System","185.10","20/05/2019","108.00","31/07/2019"
"UCO Bank","22.40","21/11/2019","11.40","03/10/2019"
"Uflex Ltd.","278.05","04/06/2019","183.70","19/02/2019"
"UFO Moviez India Ltd","322.20","29/05/2019","117.95","07/11/2019"
"Ugar Sugar Works","17.80","20/02/2019","11.50","23/08/2019"
"Ujaas Energy","8.50","18/04/2019","2.75","06/12/2019"
"Ujjivan Financial","387.50","31/01/2020","252.00","14/02/2019"
"Ujjivan SmallFinance","62.80","12/12/2019","48.35","21/01/2020"
"Ultra Wiring Connect","32.75","15/02/2019","15.00","21/01/2019"
"UltraTech Cement","4,904.95","27/05/2019","3,367.05","15/02/2019"
"Umang Dairies Ltd.","60.95","12/03/2019","32.00","12/12/2019"
"Unichem Labs","211.80","14/03/2019","141.30","15/11/2019"
"Uniinfo Telecom Serv","44.80","10/05/2019","16.40","09/10/2019"
"Union Bank of In","100.40","03/04/2019","48.10","11/10/2019"
"Uniphos Enterprises","119.00","12/03/2019","57.20","13/08/2019"
"Uniply Industries","67.05","05/07/2019","7.75","02/01/2020"
"Unitech Ltd.","1.70","13/03/2019","0.35","15/10/2019"
"United Bank of I","12.05","01/04/2019","6.95","17/10/2019"
"United Breweries Ltd","1,483.70","21/05/2019","1,185.00","12/12/2019"
"United Polyfab Gujar","37.50","27/12/2018","7.05","27/12/2019"
"United Spirits","674.00","26/09/2019","496.80","18/02/2019"
"UnitedBreweries(Hol)","34.25","05/05/2017","9.30","12/02/2018"
"Unity Infraprojects","1.20","31/01/2019","0.20","17/10/2019"
"Univastu India","46.00","20/01/2020","36.25","03/05/2019"
"Universal Cables","267.80","11/02/2019","127.85","23/08/2019"
"UPL","709.05","05/07/2019","497.85","13/08/2019"
"Upper Ganges Sug","532.00","02/08/2016","86.00","22/03/2016"
"Uravi T and Wedge","120.50","30/05/2019","91.00","12/03/2019"
"Urja Global","3.55","12/02/2019","1.45","01/11/2019"
"Usha Martin Educatio","2.10","13/06/2019","0.75","17/10/2019"
"Usha Martin Ltd.","44.00","08/04/2019","22.20","23/08/2019"
"Ushanti Colour Chem","74.50","08/04/2019","33.75","11/10/2019"
"Usher Agro Ltd.","6.05","13/04/2018","1.30","29/10/2018"
"Uttam Galva Steels","12.65","19/03/2019","5.45","17/10/2019"
"Uttam Sugar Mills","161.30","01/03/2019","84.05","04/02/2019"
"Uttam Value Steels","0.15","31/01/2019","0.05","29/03/2019"
"V Mart Retail","2,863.90","08/03/2019","1,603.65","24/12/2019"
"V2 Retail","321.65","12/03/2019","89.25","26/08/2019"
"Va Tech Wabag Ltd.","362.95","20/03/2019","160.30","20/11/2019"
"Vadilal Indus.","874.00","27/01/2020","436.10","11/02/2019"
"Vadivarhe Speciality","48.80","07/02/2019","13.35","06/12/2019"
"Vaibhav Global","1,100.00","30/01/2020","596.00","14/02/2019"
"Vaishali Pharma","57.75","23/01/2020","17.22","20/06/2019"
"Vakrangee","71.00","12/04/2019","22.75","23/08/2019"
"Valecha Engineer","34.50","13/07/2016","16.85","03/04/2017"
"Value Industries Ltd","11.65","08/01/2018","3.80","03/09/2018"
"Vardhman Acrylics Lt","48.40","27/05/2019","32.50","26/11/2019"
"Vardhman Holdings","2,484.00","23/04/2019","1,210.15","17/12/2019"
"Vardhman Polytex","11.25","31/01/2019","1.70","01/11/2019"
"Vardhman Special St","116.40","05/03/2019","62.00","25/10/2019"
"Vardhman Textiles Lt","1,155.00","16/04/2019","851.05","03/09/2019"
"Varroc Engineering","665.85","31/01/2019","381.30","22/08/2019"
"Varun Beverages Ltd.","870.00","27/01/2020","490.28","15/02/2019"
"Varun Industries","9.05","02/07/2014","2.05","22/06/2015"
"Varun Shipping","11.50","02/07/2015","3.70","30/03/2015"
"Vasa Retail & Overse","26.10","19/03/2019","7.80","28/01/2020"
"Vascon Engineers Ltd","18.70","31/01/2020","9.85","02/08/2019"
"Vaswani Industries L","12.35","12/06/2019","4.00","29/11/2019"
"Vaxtex Cotfab","25.50","27/01/2020","20.00","29/01/2020"
"Vedanta","198.25","31/01/2019","125.30","22/08/2019"
"Venkys (India) Ltd.","2,672.30","01/02/2019","1,135.25","05/08/2019"
"Venus Remedies L","39.70","31/01/2019","18.80","19/07/2019"
"Vera Synthetic","150.00","10/01/2020","41.00","23/01/2019"
"Vertoz Advertising","105.50","11/06/2019","71.00","17/01/2020"
"Vesuvius India","1,279.90","18/03/2019","895.10","16/08/2019"
"Veto Switchgears & C","82.60","27/02/2019","33.80","11/12/2019"
"V-Guard Ind.Ltd.","259.20","31/10/2019","183.40","15/02/2019"
"Viceroy Hotels L","4.90","22/03/2019","1.10","16/10/2019"
"Videocon Industries","5.10","06/01/2020","1.20","27/08/2019"
"Vidhi Specialty Food","87.00","14/03/2019","50.90","23/08/2019"
"Vijay Shanthi Bu","9.00","17/12/2018","2.10","29/10/2019"
"Vijaya Bank","66.00","18/09/2018","38.40","18/02/2019"
"Viji Finance","1.15","14/03/2019","0.35","02/08/2019"
"Vikas Ecotech L","14.45","29/05/2019","2.50","13/12/2019"
"Vikas Multicorp","5.40","08/05/2019","2.10","26/06/2019"
"Vikas Proppant & Gra","9.15","31/01/2020","3.20","26/09/2019"
"Vikas WSP","13.40","26/08/2019","6.90","28/01/2020"
"Vimal Oil & Food","9.10","05/02/2019","3.10","29/01/2020"
"Vimta Labs Ltd.","269.00","31/01/2019","87.50","20/11/2019"
"Vinati Organics","2,393.00","17/09/2019","1,385.15","28/02/2019"
"Vindhya Telelink","1,668.30","11/02/2019","756.20","22/08/2019"
"Vinny Overseas","47.00","11/01/2019","33.00","26/11/2019"
"Vinyl Chemicals","88.00","01/04/2019","58.75","24/12/2019"
"VIP Clothing","28.00","07/03/2019","5.95","17/10/2019"
"VIP Indus.","525.00","07/02/2019","342.30","22/07/2019"
"Vipul Ltd.","54.90","03/05/2019","16.60","27/12/2019"
"Visa Steel","9.00","25/03/2019","3.00","17/10/2019"
"Visagar Polytex Ltd.","0.80","01/02/2019","0.10","23/10/2019"
"Visaka Indus.","448.00","30/05/2019","209.05","02/12/2019"
"Vishal Fabrics Ltd.","412.00","21/08/2019","222.30","30/01/2020"
"Vishnu Chemicals","164.00","29/05/2019","94.05","22/08/2019"
"Vishwaraj Sugar Ind","102.00","18/12/2019","60.10","16/10/2019"
"Vivimed Labs","28.25","06/03/2019","10.15","12/12/2019"
"VKS Projects Ltd.","0.10","03/04/2017","0.05","03/04/2017"
"VLS Finance L","67.90","06/03/2019","40.10","23/08/2019"
"Vodafone Idea L","20.45","29/03/2019","2.40","15/11/2019"
"Voltamp Transformers","1,388.80","16/01/2020","942.55","31/01/2019"
"Voltas Ltd.","730.95","24/01/2020","501.05","14/02/2019"
"VRL Logistics Ltd.","316.00","29/05/2019","221.75","06/08/2019"
"VST Industries","4,848.00","22/01/2020","3,131.30","26/02/2019"
"VST Tillers Tr","1,650.00","08/02/2019","921.00","23/08/2019"
"VTM Ltd.","30.45","15/09/2014","14.00","25/03/2014"
"VTX Industries","7.35","25/02/2014","3.45","21/01/2015"
"W S Industries","3.00","01/02/2019","0.50","08/08/2019"
"WABCO India","7,100.00","29/03/2019","5,840.10","15/02/2019"
"Walchandnagar","108.65","18/04/2019","51.20","23/08/2019"
"Wanbury","24.50","16/04/2019","10.75","25/10/2019"
"Waterbase Ltd.","164.45","16/01/2020","85.20","22/08/2019"
"Wealth First Portfol","147.00","26/09/2019","130.00","13/02/2019"
"Websol Energy System","36.90","10/06/2019","16.05","06/08/2019"
"Weizmann","46.55","14/03/2019","18.80","18/12/2019"
"Welspun Corp","184.40","17/01/2020","86.80","07/02/2019"
"Welspun Enterp (Old)","536.00","20/05/2015","80.00","11/07/2014"
"Welspun Enterprises","142.50","27/05/2019","69.55","24/12/2019"
"Welspun India","66.00","12/03/2019","42.50","31/01/2020"
"WelspunInvestments","272.50","30/10/2019","130.00","18/02/2019"
"Wendt India","3,308.95","29/10/2019","1,926.20","02/08/2019"
"West Coast Paper","297.00","30/05/2019","204.50","19/11/2019"
"Westlife Development","457.55","27/01/2020","261.45","05/09/2019"
"Wheels India Ltd.","1,067.95","06/03/2019","545.00","30/09/2019"
"Whirlpool of Ind","2,510.40","20/01/2020","1,289.00","18/02/2019"
"Williamson Magor","59.65","06/03/2019","11.30","26/12/2019"
"Windsor Machines","73.15","16/04/2019","15.70","11/10/2019"
"Winsome Diamonds","8.35","26/05/2014","0.40","10/03/2015"
"Winsome Yarns","1.10","08/03/2019","0.10","30/09/2019"
"Wipro Ltd","301.60","14/06/2019","232.20","01/10/2019"
"Wockhardt Ltd.","470.90","01/04/2019","230.15","09/10/2019"
"Wonder Fibromats","100.00","27/10/2019","81.00","09/10/2019"
"Wonderla Holidays Lt","322.95","02/04/2019","231.50","23/07/2019"
"Worth Peripherals","75.00","24/01/2019","39.00","23/07/2019"
"Wyeth Ltd.","1,410.00","08/12/2014","685.00","28/01/2014"
"Xchanging Solutions","64.90","27/01/2020","40.00","07/02/2019"
"Xelpmoc Design and T","101.70","18/02/2019","54.00","02/08/2019"
"XL Energy Ltd.","1.10","08/04/2019","0.35","11/10/2019"
"Xpro India Ltd.","46.00","06/03/2019","19.20","20/12/2019"
"YES Bank Ltd.","286.00","03/04/2019","29.00","01/10/2019"
"Zandu Realty","2,689.95","04/12/2017","1,111.00","11/08/2017"
"Zee Entertainment En","488.95","01/03/2019","199.15","01/10/2019"
"Zee Learn Ltd.","32.50","18/03/2019","14.50","16/10/2019"
"Zee Media Corp","20.80","15/03/2019","4.75","31/10/2019"
"Zen Technologies Ltd","86.30","15/03/2019","49.00","26/07/2019"
"Zenith Birla (India)","0.75","31/01/2019","0.30","23/07/2019"
"Zenith Computers","4.00","16/03/2015","2.20","15/12/2015"
"Zenith Exports L","110.00","22/05/2019","35.25","06/11/2019"
"Zenith Infotech","6.00","21/11/2013","1.90","12/03/2014"
"Zensar Technologies","271.35","11/06/2019","168.10","17/12/2019"
"Zicom Electronic","7.30","11/03/2019","0.85","13/08/2019"
"Zodiac Clothing","287.00","29/05/2019","132.00","06/02/2019"
"Zodiac Energy","32.00","10/06/2019","14.30","03/04/2019"
"Zodiac JRD MKJ L","49.70","07/03/2019","22.25","02/08/2019"
"Zota Healthcare","236.90","19/08/2019","175.00","30/08/2019"
"Zuari Agro Chemicals","228.80","01/02/2019","82.95","09/10/2019"
"Zuari Global","123.40","03/04/2019","40.50","26/12/2019"
"Zydus Wellness Ltd.","1,860.20","11/09/2019","1,195.25","01/03/2019"
"Zylog Systems","1.40","17/08/2018","0.35","29/07/2019"
